Title,CreatedAt,ClosedAt,TimeLapsed,NumberOfPrompts
fix(#147): improve handling of anyOf,2023-06-05T15:27:22Z,2023-06-06T14:10:07Z,22:42:45,1
chore(CI): disable prettier check on pull requests,2023-05-31T14:29:05Z,2023-07-24T13:33:44Z,"53 days, 23:04:39",1
chore(CI): disable prettier check on pull requests,2023-05-31T14:29:05Z,2023-07-24T13:33:44Z,"53 days, 23:04:39",1
[Issue 25281]: Build new custom tab navigation button menu,2023-07-06T15:28:20Z,2023-07-11T22:29:51Z,"5 days, 7:01:31",2
Timestamps testcases,2023-06-05T12:17:25Z,2023-06-09T11:21:18Z,"3 days, 23:03:53",6
Python version of the prompt: 906 Tokens,2023-05-09T20:58:04Z,2023-06-14T13:06:07Z,"35 days, 16:08:03",N/A
Better object model - add wave.js and basho.js,2023-07-05T04:37:54Z,2023-07-05T04:47:07Z,0:09:13,6
Fix #74: Correct for Lens Distortion for ray angle calculation,2023-07-26T00:27:05Z,2023-07-26T20:45:41Z,20:18:36,7
Create user.js and user.test.js,2023-07-04T22:07:17Z,2023-07-04T22:12:35Z,0:05:18,3
Set up npm test in a github action.,2023-07-04T20:15:49Z,2023-07-04T20:51:29Z,0:35:40,1
Rostislav / Wall-455 / Transaction list filter (Demo&Real),2023-06-13T14:17:24Z,2023-07-05T02:49:50Z,"21 days, 12:32:26",2
feat: clear history to optimze repo size,2023-06-14T04:41:06Z,2023-06-15T02:13:06Z,21:32:00,2
feat: clear history to optimze repo size,2023-06-14T04:41:06Z,2023-06-15T02:13:06Z,21:32:00,2
Add more stuff to look at.,2023-07-03T18:44:13Z,2023-07-03T18:52:29Z,0:08:16,4
Fix #74: Correct for Lens Distortion for ray angle calculation,2023-07-23T19:43:33Z,2023-07-23T20:26:04Z,0:42:31,7
Fix #74: Correct for Lens Distortion for ray angle calculation,2023-07-23T17:34:25Z,2023-07-23T19:33:10Z,1:58:45,7
GPT-3.5-Turbo Hierarchy Script,2023-06-06T22:07:23Z,2023-06-23T15:17:03Z,"16 days, 17:09:40",3
Github Actions とpre-commitにpoetry exportを適用,2023-07-09T10:27:11Z,2023-07-18T11:38:36Z,"9 days, 1:11:25",4
Add ConfusionMatrix to EvaluationAPI,2023-07-04T19:50:59Z,2023-07-21T11:31:26Z,"16 days, 15:40:27",4
Add ConfusionMatrix to EvaluationAPI,2023-07-04T19:50:59Z,2023-07-21T11:31:26Z,"16 days, 15:40:27",4
HTTPS support for Prometheus Exporter,2023-06-19T23:46:30Z,2023-07-06T21:55:02Z,"16 days, 22:08:32",1
"feat: allow more input types to functions, fix tests",2023-06-15T15:49:34Z,2023-06-21T12:58:28Z,"5 days, 21:08:54",1
"for lack of a better name, ""gpt protocol buffers""",2023-04-23T11:52:34Z,2023-06-08T21:14:17Z,"46 days, 9:21:43",N/A
Refactoring for interactivity.,2023-07-03T20:12:31Z,2023-07-03T22:24:54Z,2:12:23,7
Incorporate local storage to put some state in the game.,2023-07-03T06:57:07Z,2023-07-03T07:34:44Z,0:37:37,8
Access key check updates,2023-06-18T18:52:54Z,2023-07-16T14:00:03Z,"27 days, 19:07:09",10
CI-279: Reporting,2023-05-10T12:56:40Z,2023-06-26T13:40:48Z,"47 days, 0:44:08",2
k-quants,2023-06-03T15:24:31Z,2023-06-05T19:56:19Z,"2 days, 4:31:48",2
k-quants,2023-06-03T15:24:31Z,2023-06-05T19:56:19Z,"2 days, 4:31:48",2
register_models() plugin hook,2023-06-26T14:44:40Z,2023-07-10T15:39:01Z,"14 days, 0:54:21",1
register_models() plugin hook,2023-06-26T14:44:40Z,2023-07-10T15:39:01Z,"14 days, 0:54:21",34
Addressing module not defined error in browser.,2023-07-03T15:59:32Z,2023-07-03T16:20:19Z,0:20:47,16
tsh: Implement puttyconfig command to add saved PuTTY sessions to Windows registry,2022-12-13T04:41:29Z,2023-07-05T18:11:45Z,"204 days, 13:30:16",3
packaging: dexc-desktop packaging for Darwin,2023-05-01T12:50:00Z,2023-06-01T18:43:21Z,"31 days, 5:53:21",N/A
[Eval] Viewport to grid size,2023-06-02T02:53:27Z,2023-07-04T02:05:57Z,"31 days, 23:12:30",14
[vvm-async-api] Add: ユーザー辞書APIを追加,2023-07-08T15:05:40Z,2023-07-22T14:01:36Z,"13 days, 22:55:56",1
コンテキストメニューのVue化,2023-07-06T14:25:19Z,2023-07-22T22:57:00Z,"16 days, 8:31:41",2
[Feat] Add PARSeq model TF and PT,2023-05-30T08:07:05Z,2023-06-15T10:53:56Z,"16 days, 2:46:51",N/A
